Ano,SEXO,Coordinador_3,Trabajo
1999,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
1998,M,NO,No trabajó de Coordinador
1998,M,NO,No trabajó de Coordinador
1998,F,NO,No trabajó de Coordinador
1999,M,NO,No trabajó de Coordinador
1999,M,NO,No trabajó de Coordinador
1999,F,NO,No trabajó de Coordinador
1999,M,NO,No trabajó de Coordinador
1999,M,NO,No trabajó de Coordinador
1999,M,NO,No trabajó de Coordinador
1999,F,NO,No trabajó de Coordinador
1999,F,NO,No trabajó de Coordinador
2000,M,NO,No trabajó de Coordinador
2000,M,NO,No trabajó de Coordinador
2000,M,Distribución Cuentas Corporativas,Trabajó de Coordinador
2000,F,NO,No trabajó de Coordinador
2000,M,NO,No trabajó de Coordinador
2000,M,NO,No trabajó de Coordinador
2000,F,NO,No trabajó de Coordinador
2000,F,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,Mercadeo,Trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,F,Operaciones de Negocio,Trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2002,F,NO,No trabajó de Coordinador
2002,F,NO,No trabajó de Coordinador
2002,F,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,F,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,F,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,F,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,F,NO,No trabajó de Coordinador
2002,F,NO,No trabajó de Coordinador
2003,F,NO,No trabajó de Coordinador
2003,F,NO,No trabajó de Coordinador
2003,F,NO,No trabajó de Coordinador
2003,M,NO,No trabajó de Coordinador
2003,M,NO,No trabajó de Coordinador
2003,F,NO,No trabajó de Coordinador
2003,F,NO,No trabajó de Coordinador
2003,F,NO,No trabajó de Coordinador
2003,M,NO,No trabajó de Coordinador
2003,M,NO,No trabajó de Coordinador
2003,F,NO,No trabajó de Coordinador
2003,F,NO,No trabajó de Coordinador
2003,M,NO,No trabajó de Coordinador
2003,M,NO,No trabajó de Coordinador
2003,F,NO,No trabajó de Coordinador
2003,F,NO,No trabajó de Coordinador
2003,F,NO,No trabajó de Coordinador
2003,M,NO,No trabajó de Coordinador
2003,F,NO,No trabajó de Coordinador
2003,F,NO,No trabajó de Coordinador
2003,F,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,F,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,F,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,F,NO,No trabajó de Coordinador
2004,F,NO,No trabajó de Coordinador
2004,F,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2005,F,NO,No trabajó de Coordinador
2005,F,NO,No trabajó de Coordinador
2005,F,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,F,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,F,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,F,NO,No trabajó de Coordinador
2005,F,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,F,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
2005,F,NO,No trabajó de Coordinador
2006,F,NO,No trabajó de Coordinador
2006,F,NO,No trabajó de Coordinador
2006,M,NO,No trabajó de Coordinador
2006,M,NO,No trabajó de Coordinador
2006,F,NO,No trabajó de Coordinador
2006,M,NO,No trabajó de Coordinador
2006,F,NO,No trabajó de Coordinador
2006,F,NO,No trabajó de Coordinador
2006,M,NO,No trabajó de Coordinador
2006,M,NO,No trabajó de Coordinador
2006,F,NO,No trabajó de Coordinador
2006,F,Planificación,Trabajó de Coordinador
2006,F,NO,No trabajó de Coordinador
2006,F,NO,No trabajó de Coordinador
2007,M,NO,No trabajó de Coordinador
2007,M,NO,No trabajó de Coordinador
2007,M,NO,No trabajó de Coordinador
2007,M,NO,No trabajó de Coordinador
2007,F,NO,No trabajó de Coordinador
2007,M,NO,No trabajó de Coordinador
2007,M,NO,No trabajó de Coordinador
2007,M,NO,No trabajó de Coordinador
2007,F,NO,No trabajó de Coordinador
2007,M,NO,No trabajó de Coordinador
2007,M,NO,No trabajó de Coordinador
2007,M,NO,No trabajó de Coordinador
2007,M,NO,No trabajó de Coordinador
2007,M,NO,No trabajó de Coordinador
2007,F,NO,No trabajó de Coordinador
2007,M,NO,No trabajó de Coordinador
2007,M,NO,No trabajó de Coordinador
2007,M,NO,No trabajó de Coordinador
2008,M,NO,No trabajó de Coordinador
2009,F,NO,No trabajó de Coordinador
1999,M,NO,No trabajó de Coordinador
2003,M,NO,No trabajó de Coordinador
2006,M,NO,No trabajó de Coordinador
2006,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2004,F,Proyectos Empresariales,Trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
1999,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2002,M,Maestría de Ingeniería Industrial,Trabajó de Coordinador
2000,F,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2004,M,NO,No trabajó de Coordinador
2000,M,NO,No trabajó de Coordinador
1998,M,Programa de Ingenieria Industrial,Trabajó de Coordinador
2006,F,Programa de Ingenieria Industrial,Trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
