Año,SEXO,LinkedIn,Diplomado_1,Confirmacion
2006,F,SI,Ninguno,Ninguno
2006,M,SI,Ninguno,Ninguno
2002,F,SI,Ninguno,Ninguno
2004,M,SI,Ninguno,Ninguno
2003,F,SI,Ninguno,Ninguno
2004,F,SI,Ninguno,Ninguno
2005,F,SI,Ninguno,Ninguno
2003,F,SI,Ninguno,Ninguno
2001,F,SI,Ninguno,Ninguno
2003,F,SI,Educación Ambiental,Tiene 
2002,F,SI,Ninguno,Ninguno
2003,M,SI,Ninguno,Ninguno
2005,F,SI,Ninguno,Ninguno
2002,F,SI,Ninguno,Ninguno
2002,M,SI,Ninguno,Ninguno
2005,F,SI,Seguridad de la Información,Tiene 
2006,F,SI,Ninguno,Ninguno
2001,M,SI,Ninguno,Ninguno
2002,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2002,M,SI,Ninguno,Ninguno
2003,M,SI,Ninguno,Ninguno
2002,F,SI,Ninguno,Ninguno
2001,F,SI,Ninguno,Ninguno
2006,F,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2002,M,SI,Ninguno,Ninguno
2001,F,SI,Ninguno,Ninguno
2002,M,SI,Ninguno,Ninguno
1999,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2001,M,SI,Ninguno,Ninguno
2000,M,SI,Marketing,Tiene 
2004,M,SI,Ninguno,Ninguno
2004,M,SI,Ninguno,Ninguno
2003,F,SI,Ninguno,Ninguno
2003,F,SI,Ninguno,Ninguno
2009,F,SI,Investigación acerca de la vulnerabilidad en la cadena de suministro,Tiene 
2005,F,SI,Ninguno,Ninguno
2002,F,SI,Gerencia de Ventas,Tiene 
1999,M,SI,Ninguno,Ninguno
2004,M,SI,Ninguno,Ninguno
1999,M,SI,Ninguno,Ninguno
2001,M,SI,Ninguno,Ninguno
2000,M,SI,Ninguno,Ninguno
1999,F,SI,Coaching Gerencial,Tiene 
2001,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2003,F,SI,Pedagogía Universitaria,Tiene 
2006,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2000,M,SI,Ninguno,Ninguno
2000,F,SI,Ninguno,Ninguno
2002,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2007,M,SI,Ninguno,Ninguno
2001,M,SI,Ninguno,Ninguno
2004,M,SI,Gestión del Riesgo,Tiene 
2002,M,SI,Ninguno,Ninguno
2001,F,SI,Ninguno,Ninguno
2005,F,SI,Ninguno,Ninguno
2001,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2001,M,SI,Ninguno,Ninguno
2004,M,SI,Ninguno,Ninguno
2002,M,SI,Ninguno,Ninguno
2001,F,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2004,M,SI,Programación de Computadoras,Tiene 
2000,M,SI,Ninguno,Ninguno
2007,M,SI,Ninguno,Ninguno
2006,M,SI,Ninguno,Ninguno
2006,F,SI,Ninguno,Ninguno
2001,M,SI,Ninguno,Ninguno
1999,M,SI,Ninguno,Ninguno
2000,M,SI,Ninguno,Ninguno
2003,M,SI,Ninguno,Ninguno
2004,M,SI,Tomas de Decisiones Eticas en la Organización,Tiene 
2005,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2002,M,SI,Ninguno,Ninguno
2004,M,SI,Ninguno,Ninguno
2001,M,SI,Ninguno,Ninguno
1998,M,SI,Ninguno,Ninguno
2007,M,SI,Ninguno,Ninguno
2006,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2004,M,SI,Ninguno,Ninguno
2004,M,SI,Ninguno,Ninguno
2000,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2002,M,SI,Ninguno,Ninguno
2003,M,SI,Ninguno,Ninguno
2001,M,SI,Ninguno,Ninguno
2001,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2004,M,SI,Ninguno,Ninguno
2001,M,SI,Ninguno,Ninguno
2007,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2006,M,SI,Ninguno,Ninguno
2008,M,SI,Ninguno,Ninguno
2003,M,SI,Ninguno,Ninguno
2007,F,SI,Logística,Tiene 
2005,F,SI,Ninguno,Ninguno
2006,F,SI,Ninguno,Ninguno
2005,F,SI,Ninguno,Ninguno
2006,F,SI,Ninguno,Ninguno
2001,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2001,M,SI,Ninguno,Ninguno
2003,F,SI,Ninguno,Ninguno
2005,F,SI,Ninguno,Ninguno
2006,M,SI,Ninguno,Ninguno
2001,F,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2001,M,SI,Ninguno,Ninguno
2004,M,SI,Ninguno,Ninguno
2007,M,SI,Ninguno,Ninguno
2001,F,SI,Ingeniería de Calidad,Tiene 
2004,F,SI,Ninguno,Ninguno
2001,F,SI,Ninguno,Ninguno
2001,F,SI,Ingeniería de Calidad,Tiene 
2004,M,SI,Ninguno,Ninguno
2003,F,SI,Ninguno,Ninguno
2001,F,SI,Ninguno,Ninguno
2000,F,SI,Finanzas,Tiene 
2004,M,SI,Ninguno,Ninguno
2002,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2000,F,SI,Ninguno,Ninguno
2003,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
2001,M,SI,Salud Ocupacional,Tiene 
2002,M,SI,Administración y Gestión de Negocios,Tiene 
2005,M,SI,Ninguno,Ninguno
2002,M,SI,Gerencia Politica y Gobernabilidad,Tiene 
2003,M,SI,Ninguno,Ninguno
2007,M,SI,Procesamiento de Datos,Tiene 
2002,F,SI,Ninguno,Ninguno
2001,F,SI,Ninguno,Ninguno
2003,F,SI,Ninguno,Ninguno
2001,F,SI,Gestión Comercial,Tiene 
2004,F,SI,Ninguno,Ninguno
2004,M,SI,Ninguno,Ninguno
2001,M,SI,Ninguno,Ninguno
2006,M,SI,Ninguno,Ninguno
1999,M,SI,Inteligencia computacional,Tiene 
2001,M,SI,Ninguno,Ninguno
1999,M,SI,Organización Industrial,Tiene 
2007,M,SI,Ninguno,Ninguno
2007,F,SI,Ninguno,Ninguno
2002,M,SI,Ninguno,Ninguno
2004,M,SI,Ninguno,Ninguno
2002,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
1999,M,SI,Ninguno,Ninguno
2004,M,SI,Ninguno,Ninguno
2002,M,SI,Ninguno,Ninguno
2005,M,SI,Ninguno,Ninguno
1998,M,SI,Ninguno,Ninguno
2003,F,SI,Ninguno,Ninguno
2001,F,SI,Ninguno,Ninguno
2002,F,SI,Ninguno,Ninguno
2002,F,SI,Ninguno,Ninguno
2003,F,SI,Sistema de Gestión Integrados,Tiene 
2004,F,SI,Ninguno,Ninguno
2006,F,SI,Ninguno,Ninguno
2003,M,SI,Ninguno,Ninguno
2001,F,SI,Ninguno,Ninguno
2001,F,SI,Ninguno,Ninguno
2002,M,SI,Salud Ocupacional,Tiene 
2005,F,SI,Ninguno,Ninguno
2006,F,SI,Ninguno,Ninguno
1999,M,SI,Salud Ocupacional,Tiene 
2006,F,SI,Ninguno,Ninguno
2004,F,SI,Ninguno,Ninguno
2001,F,SI,Ninguno,Ninguno
2003,F,SI,Ninguno,Ninguno
2000,F,SI,Ninguno,Ninguno
2003,F,SI,Ninguno,Ninguno
2003,F,SI,Ninguno,Ninguno
2007,M,SI,Ninguno,Ninguno
2007,M,SI,Ninguno,Ninguno
2006,F,SI,Ninguno,Ninguno
2007,M,SI,Docencia Inicial Universitaria,Tiene 
2007,M,SI,Ninguno,Ninguno
2007,M,SI,Ninguno,Ninguno
2007,F,SI,Ninguno,Ninguno
2007,M,SI,Gerencia de Proyectos,Tiene 
2007,M,SI,Diplomado en Talento Humano,Tiene 
2007,M,SI,Ninguno,Ninguno
2001,M,SI,Educación Ambiental,Tiene 
2004,F,SI,Ninguno,Ninguno
1998,M,SI,Ninguno,Ninguno
1999,F,SI,Ninguno,Ninguno
1998,F,SI,Ninguno,Ninguno
1999,F,SI,Marketing,Tiene 
2004,M,SI,Ninguno,Ninguno
