Ano,SEXO,Doctorado,Confirmacion
1999,M,Ninguna,Ninguna
2002,M,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
1998,M,Ninguna,Ninguna
1998,M,Ninguna,Ninguna
1998,F,Ninguna,Ninguna
1999,M,Ninguna,Ninguna
1999,M,Dirección de Proyectos,Tiene
1999,F,Ninguna,Ninguna
1999,M,Ninguna,Ninguna
1999,M,Ninguna,Ninguna
1999,M,Ninguna,Ninguna
1999,F,Ninguna,Ninguna
1999,F,Ninguna,Ninguna
2000,M,Ninguna,Ninguna
2000,M,Ninguna,Ninguna
2000,M,Administración y Desarrollo Empresarial,Tiene
2000,F,Administración y Desarrollo Empresarial,Tiene
2000,M,Ninguna,Ninguna
2000,M,Ninguna,Ninguna
2000,F,Ninguna,Ninguna
2000,F,Ninguna,Ninguna
2001,F,Ninguna,Ninguna
2001,M,Ninguna,Ninguna
2001,F,Ninguna,Ninguna
2001,F,Ninguna,Ninguna
2001,M,Ninguna,Ninguna
2001,M,Ninguna,Ninguna
2001,M,Ninguna,Ninguna
2001,M,Ninguna,Ninguna
2001,F,Ninguna,Ninguna
2001,M,Ninguna,Ninguna
2001,M,Ninguna,Ninguna
2001,F,Ninguna,Ninguna
2001,M,Proyectos de innovación e ingeniería,Tiene
2001,M,Ninguna,Ninguna
2001,M,Ninguna,Ninguna
2001,M,Ninguna,Ninguna
2001,M,Ninguna,Ninguna
2001,M,Ninguna,Ninguna
2001,F,Ninguna,Ninguna
2001,F,Ninguna,Ninguna
2001,F,Ninguna,Ninguna
2001,F,Ninguna,Ninguna
2001,F,Administración y Desarrollo Empresarial,Tiene
2001,M,Ninguna,Ninguna
2001,F,Ciencias de la Administración,Tiene
2001,F,Ninguna,Ninguna
2001,M,Ninguna,Ninguna
2001,M,Ninguna,Ninguna
2001,F,Ninguna,Ninguna
2001,F,Ninguna,Ninguna
2001,F,Administración,Tiene
2001,M,Ninguna,Ninguna
2002,F,Ninguna,Ninguna
2002,F,Ninguna,Ninguna
2002,F,Ninguna,Ninguna
2002,M,Ninguna,Ninguna
2002,M,Ninguna,Ninguna
2002,M,Ninguna,Ninguna
2002,F,Ninguna,Ninguna
2002,M,Ninguna,Ninguna
2002,M,Logistica,Tiene
2002,F,Ninguna,Ninguna
2002,M,Ninguna,Ninguna
2002,M,Gestión y Desarrollo Tecnologico,Tiene
2002,M,Ninguna,Ninguna
2002,M,Ninguna,Ninguna
2002,M,Ninguna,Ninguna
2002,M,Ninguna,Ninguna
2002,M,Ninguna,Ninguna
2002,F,Ninguna,Ninguna
2002,M,Ninguna,Ninguna
2002,M,Ninguna,Ninguna
2002,M,Ninguna,Ninguna
2002,F,Ninguna,Ninguna
2002,F,Ninguna,Ninguna
2003,F,Ninguna,Ninguna
2003,F,Administración y Desarrollo Empresarial,Tiene
2003,F,Ninguna,Ninguna
2003,M,Ninguna,Ninguna
2003,M,Ninguna,Ninguna
2003,F,Ninguna,Ninguna
2003,F,Ninguna,Ninguna
2003,F,Ninguna,Ninguna
2003,M,Ninguna,Ninguna
2003,M,Ninguna,Ninguna
2003,F,Ninguna,Ninguna
2003,F,Ninguna,Ninguna
2003,M,Ninguna,Ninguna
2003,M,Ninguna,Ninguna
2003,F,Ninguna,Ninguna
2003,F,Ninguna,Ninguna
2003,F,Ninguna,Ninguna
2003,M,Ninguna,Ninguna
2003,F,Ninguna,Ninguna
2003,F,Ninguna,Ninguna
2003,F,Ninguna,Ninguna
2004,M,Ninguna,Ninguna
2004,M,Ninguna,Ninguna
2004,M,Ninguna,Ninguna
2004,M,Ninguna,Ninguna
2004,M,Ninguna,Ninguna
2004,M,Ninguna,Ninguna
2004,M,Ninguna,Ninguna
2004,M,Ninguna,Ninguna
2004,M,Ninguna,Ninguna
2004,M,Ninguna,Ninguna
2004,M,Ninguna,Ninguna
2004,F,Ninguna,Ninguna
2004,M,Ninguna,Ninguna
2004,M,Ninguna,Ninguna
2004,F,Ninguna,Ninguna
2004,M,Ninguna,Ninguna
2004,F,Ninguna,Ninguna
2004,F,Ninguna,Ninguna
2004,F,Ninguna,Ninguna
2004,M,Ninguna,Ninguna
2005,F,Ninguna,Ninguna
2005,F,Ninguna,Ninguna
2005,F,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,F,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,F,Ninguna,Ninguna
2005,M,Ciencias de la Administración,Tiene
2005,M,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,F,Ninguna,Ninguna
2005,F,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,F,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
2005,F,Ninguna,Ninguna
2006,F,Ninguna,Ninguna
2006,F,Ninguna,Ninguna
2006,M,Ninguna,Ninguna
2006,M,Ninguna,Ninguna
2006,F,Ninguna,Ninguna
2006,M,Ninguna,Ninguna
2006,F,Ninguna,Ninguna
2006,F,Ninguna,Ninguna
2006,M,Ninguna,Ninguna
2006,M,Ninguna,Ninguna
2006,F,Ninguna,Ninguna
2006,F,Ninguna,Ninguna
2006,F,Ninguna,Ninguna
2006,F,Ninguna,Ninguna
2007,M,Ninguna,Ninguna
2007,M,Ninguna,Ninguna
2007,M,Ninguna,Ninguna
2007,M,Ninguna,Ninguna
2007,F,Ninguna,Ninguna
2007,M,Ninguna,Ninguna
2007,M,Ninguna,Ninguna
2007,M,Ninguna,Ninguna
2007,F,Ninguna,Ninguna
2007,M,Ninguna,Ninguna
2007,M,Ninguna,Ninguna
2007,M,Ninguna,Ninguna
2007,M,Ninguna,Ninguna
2007,M,Ninguna,Ninguna
2007,F,Ninguna,Ninguna
2007,M,Ninguna,Ninguna
2007,M,Ninguna,Ninguna
2007,M,Ninguna,Ninguna
2008,M,Ninguna,Ninguna
2009,F,Ninguna,Ninguna
1999,M,Ninguna,Ninguna
2003,M,Ninguna,Ninguna
2006,M,Ninguna,Ninguna
2006,M,Ciencias de la Administración,Tiene
2001,M,Ingenieria Industrial,Tiene
2004,F,Ciencias de la Administración,Tiene
2004,M,Gestión Tecnologica,Tiene
2004,M,Ninguna,Ninguna
2001,F,Gestión y Desarrollo de Negocios ,Tiene
1999,M,Ingenieria Industrial,Tiene
2001,M,Administración y Desarrollo Empresarial,Tiene
2002,M,Ninguna,Ninguna
2000,F,Logistica,Tiene
2004,M,Ninguna,Ninguna
2004,M,Economia del Agua y Cambio Clímatico,Tiene
2000,M,Ninguna,Ninguna
1998,M,Ninguna,Ninguna
2006,F,Ninguna,Ninguna
2005,M,Ninguna,Ninguna
